PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=233 ttl=115 time=20.1 ms
64 bytes from 8.8.8.8: icmp_seq=234 ttl=115 time=37.9 ms
64 bytes from 8.8.8.8: icmp_seq=235 ttl=115 time=11.6 ms
64 bytes from 8.8.8.8: icmp_seq=236 ttl=115 time=14.2 ms
64 bytes from 8.8.8.8: icmp_seq=237 ttl=115 time=18.1 ms
64 bytes from 8.8.8.8: icmp_seq=238 ttl=115 time=11.6 ms
64 bytes from 8.8.8.8: icmp_seq=239 ttl=115 time=20.2 ms
64 bytes from 8.8.8.8: icmp_seq=240 ttl=115 time=14.1 ms
64 bytes from 8.8.8.8: icmp_seq=241 ttl=115 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=242 ttl=115 time=25.1 ms
64 bytes from 8.8.8.8: icmp_seq=243 ttl=115 time=213 ms
64 bytes from 8.8.8.8: icmp_seq=244 ttl=115 time=16.6 ms
64 bytes from 8.8.8.8: icmp_seq=245 ttl=115 time=19.8 ms
64 bytes from 8.8.8.8: icmp_seq=246 ttl=115 time=14.0 ms
64 bytes from 8.8.8.8: icmp_seq=247 ttl=115 time=12.6 ms
64 bytes from 8.8.8.8: icmp_seq=248 ttl=115 time=15.6 ms
64 bytes from 8.8.8.8: icmp_seq=249 ttl=115 time=33.7 ms
64 bytes from 8.8.8.8: icmp_seq=250 ttl=115 time=11.6 ms

--- 8.8.8.8 ping statistics ---
250 packets transmitted, 250 received, 0% packet loss, time 249404ms
rtt min/avg/max/mdev = 10.707/28.184/255.539/31.480 ms
